n, BubbleSort, InsertionSort, QuickSort, MergeSort
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
500,0,0,0,0
500,0,0,0,0
500,0,0,0,0
500,0,0,0,0
500,0.01,0,0,0
500,0,0,0,0
500,0,0,0,0
500,0,0,0,0
500,0,0,0,0
500,0,0,0,0
500,0,0,0,0
500,0,0,0,0
500,0,0,0,0
500,0,0,0,0
500,0.01,0,0,0
500,0,0,0,0
500,0,0,0,0
500,0,0,0,0
500,0,0,0,0
500,0,0,0,0
1000,0,0,0,0
1000,0,0,0,0
1000,0,0,0,0
1000,0.01,0,0,0
1000,0,0,0,0
1000,0,0,0,0
1000,0,0,0,0
1000,0.01,0,0,0
1000,0,0,0,0
1000,0,0,0,0
1000,0,0,0,0
1000,0,0,0,0
1000,0,0,0,0
1000,0.01,0,0,0
1000,0,0,0,0
1000,0,0,0,0
1000,0,0,0,0
1000,0.01,0,0,0
1000,0,0,0,0
1000,0,0,0,0
5000,0.06,0,0,0
5000,0.06,0,0,0
5000,0.06,0,0,0
5000,0.06,0,0,0
5000,0.06,0,0,0
5000,0.06,0,0,0
5000,0.06,0,0,0
5000,0.06,0,0,0
5000,0.06,0,0,0
5000,0.06,0,0,1e-06
5000,0.06,0,0,0
5000,0.06,0,0,0
5000,0.06,0.01,0,0
5000,0.06,0.01,0,0
5000,0.06,0.01,0,1e-06
5000,0.06,0.01,0,0
5000,0.06,0.01,0,0
5000,0.06,0.01,0,0
5000,0.06,0.01,0,0
5000,0.05,0.01,0,0
10000,0.24,0.03,0,0
10000,0.24,0.03,0,1e-06
10000,0.24,0.03,0,0
10000,0.24,0.03,0,1e-06
10000,0.23,0.04,0,0
10000,0.23,0.04,0,1e-06
10000,0.23,0.03,0,0
10000,0.23,0.03,0,1e-06
10000,0.23,0.03,0,0
10000,0.23,0.03,0,1e-06
10000,0.23,0.03,0,1e-06
10000,0.23,0.03,0,0
10000,0.24,0.03,0,1e-06
10000,0.23,0.03,0,0
10000,0.24,0.03,0,1e-06
10000,0.23,0.03,0,0
10000,0.24,0.03,0,0
10000,0.23,0.04,0,0
10000,0.24,0.03,0,0
10000,0.23,0.03,0,0
50000,5.93,0.81,0,1e-05
50000,5.92,0.81,0,9e-06
50000,5.95,0.81,0,1e-05
50000,5.95,0.81,0,1e-05
50000,5.92,0.81,0,9e-06
50000,5.92,0.81,0,9e-06
50000,5.93,0.81,0,1e-05
50000,5.93,0.82,0,9e-06
50000,5.93,0.81,0,9e-06
50000,5.93,0.81,0,9e-06
50000,5.93,0.81,0,1e-05
50000,5.93,0.81,0,9e-06
50000,5.92,0.8,0,1e-05
50000,5.92,0.81,0,9e-06
50000,5.92,0.81,0,1e-05
50000,5.93,0.8,0,1e-05
50000,5.92,0.8,0,9e-06
50000,5.93,0.81,0,1e-05
50000,5.92,0.81,0,1e-05
50000,5.92,0.81,0,1e-05
100000,23.66,3.3,0,5.3e-05
100000,23.76,3.29,0,5.2e-05
100000,23.68,3.26,0,5.2e-05
100000,23.74,3.28,0,5.3e-05
100000,23.74,3.28,0,5.4e-05
100000,23.74,3.29,0,5.2e-05
100000,23.73,3.26,0,5.9e-05
100000,23.69,3.28,0,5.5e-05
100000,23.78,3.28,0,5.4e-05
100000,23.75,3.28,0,5.4e-05
100000,23.69,3.27,0,5.4e-05
100000,23.73,3.28,0,5.7e-05
100000,23.7,3.29,0,5.4e-05
100000,23.75,3.28,0,5.4e-05
100000,23.74,3.27,0,5.1e-05
100000,23.75,3.28,0,5.2e-05
100000,23.75,3.29,0,5.3e-05
100000,23.72,3.3,0,4.8e-05
100000,23.68,3.3,0,4.8e-05
100000,23.72,3.3,0,4.7e-05
